Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.000000;-10.808173;-13.913193;-11.784982;-11.268729;-8.058410;-11.049468;-10.286698;-11.788456;256
0.003906;-5.927869;-5.745646;-4.642447;-5.564273;-4.523319;-8.400479;-4.623589;-7.970594;
0.007813;1.651384;5.267121;4.271927;1.779906;1.671399;-2.874735;3.185220;-0.681823;
0.011719;-1.806483;0.324394;-0.374904;-4.728932;1.061017;-6.135636;1.390056;-3.153381;
0.015625;-6.207664;-6.519366;-5.274480;-10.234136;0.065244;-10.036417;-1.954095;-7.610370;
0.019531;-6.837777;-7.279390;-5.192055;-9.569180;-0.960314;-10.382059;-3.163195;-8.747410;
0.023438;-0.857179;0.844419;1.388952;-1.562736;1.494712;-4.530337;0.843262;-3.022773;
0.027344;3.339267;5.721233;4.749547;3.761541;3.401201;0.679530;3.532840;1.627695;
0.031250;-4.802058;-6.429630;-5.396009;-6.050212;-3.895562;-4.878393;-4.422785;-5.417120;
0.035156;-8.173141;-12.261260;-8.933368;-9.508059;-7.179478;-7.798555;-8.393349;-8.893883;
0.039063;-3.215469;-5.800110;-3.655262;-2.025083;-4.375972;-2.485329;-4.976699;-3.340233;
0.042969;1.588239;1.252114;0.782097;4.338597;-1.695737;4.044632;-1.188619;3.084081;
0.046875;1.480706;1.558974;0.807865;2.357497;-1.326838;2.515947;-0.824710;3.041559;
0.050781;-5.324827;-6.981725;-6.346372;-8.747534;-5.493311;-8.174199;-5.531809;-4.227137;
0.054688;-4.722857;-4.903533;-5.242063;-8.567717;-3.745152;-9.438697;-3.413101;-3.774236;
0.058594;-0.547778;2.101771;0.616715;-2.176111;0.836858;-3.507394;1.573649;0.334723;
0.062500;-1.419044;-0.065562;0.318573;-2.431658;1.084916;-1.556075;0.772125;-0.983983;
0.066406;-2.864198;-4.864162;-2.149688;-3.578193;0.679154;-1.454198;-1.539201;-2.863101;
0.070313;-6.254525;-10.449430;-6.992172;-7.444624;-1.562478;-4.122005;-4.781363;-5.565784;
0.074219;-2.113066;-4.127532;-2.503084;-2.873831;1.348519;-0.998012;-0.782806;-1.854830;
0.078125;5.410992;6.356285;5.844672;5.384137;5.670609;4.488583;5.610771;4.004881;
0.082031;3.921636;3.350903;3.739453;2.157611;3.056841;1.578410;3.588388;1.555508;
0.085938;-0.239161;-2.451683;-0.925108;-3.455916;0.459099;-3.178315;0.105089;-2.929844;
0.089844;-4.832642;-4.859653;-5.184161;-7.899565;-1.297601;-6.578384;-2.001653;-6.592833;
0.093750;-2.093599;3.363905;-0.987889;-2.633808;1.797171;-2.622761;1.776873;-3.117091;
0.097656;2.701338;10.896669;4.291997;4.642187;4.257833;2.609011;4.638921;1.609513;
0.101563;-4.558275;0.237083;-4.680198;-4.095427;-3.575296;-4.137812;-3.866712;-5.113209;
0.105469;-9.550211;-7.737825;-10.202642;-10.581195;-7.355707;-9.721560;-8.562614;-9.887394;
0.109375;-2.825093;-1.363722;-2.324441;-3.079491;0.189429;-3.466753;-1.346780;-3.122945;
0.113281;11.134566;13.432627;13.084741;13.037479;12.980133;10.780177;11.858283;10.885407;
0.117188;16.091249;18.387342;18.178610;19.129539;15.994770;16.394413;16.022133;16.474699;
0.121094;3.770650;3.778855;4.025304;4.499189;3.678524;5.338856;4.887712;6.129705;
0.125000;-1.144020;-1.017529;-1.419746;-1.660929;-1.059843;0.291424;0.583807;1.857530;
0.128906;6.720420;8.459810;7.248443;6.958216;5.700190;6.884675;7.295476;8.357307;
0.132813;14.946781;16.315762;15.251137;15.494564;11.693178;14.166165;13.824700;14.873363;
0.136719;16.515692;16.212385;15.129289;16.725977;11.354770;16.044039;14.645856;16.494722;
0.140625;8.476736;6.206603;5.192074;7.183946;4.387563;9.982608;7.621667;10.898860;
0.144531;6.952286;6.295422;4.649795;6.480664;4.561248;9.153990;6.372601;10.139063;
0.148438;9.911930;11.820130;9.738256;11.655911;7.466128;11.432184;8.605415;11.402416;
0.152344;5.933328;6.268031;5.852509;6.955753;2.867754;6.963106;3.900431;5.641015;
0.156250;1.690646;-0.884590;0.710496;0.625785;-1.062261;1.982045;-0.975731;0.428804;
0.160156;0.494636;-2.610138;-1.251204;-1.640019;-0.536771;0.862738;-1.049291;0.143040;
0.164063;7.674305;8.557946;6.690311;7.970528;7.212204;8.289004;7.802126;8.341009;
0.167969;12.569864;16.858496;12.650730;15.588760;11.624551;12.975409;13.369341;13.363906;
0.171875;4.460451;7.007208;3.676844;6.000303;4.082763;4.871791;5.231485;5.634355;
0.175781;-2.302416;-1.590934;-4.342305;-2.668481;-1.969358;-2.044229;-2.142332;-0.668817;
0.179688;-3.102737;-1.891726;-5.212239;-3.625077;-2.169488;-2.840947;-2.990276;-0.919756;
0.183594;2.426521;6.063615;2.351946;3.458091;3.389461;1.744042;2.430057;3.610855;
0.187500;5.636135;10.385941;7.587579;7.615370;6.903483;3.956056;5.843380;5.007760;
0.191406;-2.063320;-0.085511;-0.485367;-2.205670;1.195379;-2.512494;-0.080447;-2.255628;
0.195313;-4.910927;-4.432580;-3.654374;-6.167576;0.022263;-4.504737;-1.617614;-4.083229;
0.199219;-1.248221;0.356962;0.618774;-1.936159;4.099090;-2.206333;2.271417;-0.853401;
0.203125;2.005179;5.341659;4.499729;2.081728;6.103083;-1.226210;4.688665;0.715295;
0.207031;0.364225;3.367875;2.361476;0.331757;2.491369;-3.492910;1.621550;-1.835711;
0.210938;-8.083944;-9.133799;-8.218801;-10.852694;-6.598905;-10.191402;-7.332996;-9.095019;
0.214844;-7.479845;-10.161345;-8.497971;-11.092565;-7.291374;-8.627075;-7.587344;-7.847248;
0.218750;-0.212630;-0.829381;-0.601120;-1.641729;-2.246172;-1.193931;-1.269631;-0.619428;
0.222656;3.245111;4.250656;3.307462;3.417672;-0.176881;2.818685;2.140323;3.307229;
0.226563;3.092800;3.596531;2.654539;3.023755;-0.643080;2.994814;2.215757;3.820702;
0.230469;-1.540185;-3.547179;-3.760541;-3.400295;-4.311197;-0.759063;-1.879110;0.421088;
0.234375;1.647775;-0.183007;-0.955127;0.669637;-0.618221;2.897177;0.725117;3.401375;
0.238281;8.314752;8.476743;6.896865;9.588879;5.919344;9.045604;6.226114;8.221264;
0.242188;5.130937;4.914124;4.249986;5.718864;3.011063;5.145386;3.070999;3.942518;
0.246094;-1.659653;-3.188705;-2.983579;-2.579969;-3.358460;-2.190494;-3.001531;-2.783794;
0.250000;-6.567837;-8.921893;-9.017658;-8.357751;-7.022520;-6.921019;-6.611716;-7.057753;
0.253906;-0.990970;-1.391859;-2.851395;-1.624936;-0.886132;-2.458032;-0.746113;-2.567311;
0.257813;4.825988;5.978020;4.607203;5.061564;4.553856;1.314801;4.065187;1.046722;
0.261719;-4.016961;-5.585015;-4.276916;-6.013184;-3.583238;-7.443020;-5.141044;-8.047786;
0.265625;-11.648024;-15.092356;-12.347041;-13.996927;-10.633431;-13.099526;-12.771795;-14.398761;
0.269531;-9.813516;-12.715007;-10.665080;-9.887831;-9.905659;-9.306051;-11.272481;-11.253451;
0.273438;-1.201477;-2.044031;-1.656474;0.814974;-3.945338;-1.484997;-3.817920;-2.887115;
0.277344;4.075360;4.875865;4.023009;6.319699;0.573990;2.349817;1.587900;2.417225;
0.281250;-0.061482;-0.386297;-0.723423;0.040479;-0.681888;0.309223;0.297131;0.972023;
0.285156;2.175924;2.339075;1.714120;1.829636;3.479744;4.730406;4.413825;4.795169;
0.289063;7.180185;9.653254;7.429626;7.998974;8.121604;9.301677;9.318059;8.647418;
0.292969;5.334542;8.885951;5.875623;6.952051;5.945905;6.344834;6.828817;5.245422;
