Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.000000;2.001312;1.667306;2.733582;1.133608;4.796740;1.894430;3.274954;1.026810;256
0.003906;-4.039235;-7.269379;-3.534059;-6.645387;4.949230;-4.381257;-4.126061;-5.651760;
0.007813;-1.598107;-5.085400;-1.405758;-3.503096;3.118619;-1.888345;-3.388791;-3.498507;
0.011719;5.058020;3.030363;5.414172;5.123382;4.349525;4.692604;2.128897;2.977902;
0.015625;5.856263;4.268644;5.930719;7.311081;3.477782;6.118480;2.619280;4.058838;
0.019531;-4.529313;-8.000782;-6.476887;-4.190449;-7.464768;-1.863625;-6.948527;-4.310512;
0.023438;-4.684320;-7.406335;-7.207621;-5.241209;-9.529882;-1.166509;-6.326668;-2.923503;
0.027344;7.399092;7.437408;6.136136;6.921636;1.168560;8.804963;6.352312;8.940188;
0.031250;15.534962;17.054054;15.361064;15.092046;9.590996;14.474959;14.802333;16.149954;
0.035156;12.535316;13.698396;12.416548;12.651849;8.045537;11.884136;11.597764;13.384631;
0.039063;2.670608;1.560869;1.646403;2.969879;0.424340;5.301735;1.825003;5.496796;
0.042969;3.142246;2.380939;2.889451;4.142879;2.251728;6.800160;2.598522;6.416476;
0.046875;6.926503;8.754541;8.093229;8.272132;7.719791;7.910675;7.083766;8.464517;
0.050781;1.356688;4.073605;2.353269;1.320010;4.612227;-0.444009;2.460855;1.375627;
0.054688;-6.563775;-4.850751;-6.471934;-7.601812;-3.593136;-8.680717;-4.977840;-6.873576;
0.058594;-11.381806;-11.731953;-12.410179;-12.560294;-12.562943;-11.862130;-9.584654;-11.202394;
0.062500;-4.544981;-3.906130;-5.087208;-4.544796;-9.778434;-5.003596;-3.074548;-5.103188;
0.066406;4.514228;7.101541;5.502925;4.982519;2.841338;2.367151;5.620255;2.186119;
0.070313;0.735792;1.542728;2.150832;-0.910581;7.369404;-2.146053;1.941610;-2.461160;
0.074219;-8.624805;-9.504880;-7.604475;-11.097491;-2.157217;-10.965565;-7.249177;-11.188460;
0.078125;-14.293812;-14.665774;-14.525236;-15.829871;-16.511118;-15.643592;-12.963445;-14.962396;
0.082031;-6.682323;-5.042877;-7.071063;-7.495205;-15.007886;-8.665587;-6.875241;-6.867834;
0.085938;1.849275;3.904072;2.564105;0.615085;-3.394144;-1.409525;-0.163073;0.332679;
0.089844;-5.592277;-6.975429;-4.799399;-8.234646;-1.148315;-8.195215;-7.205051;-7.813623;
0.093750;-12.582085;-16.449522;-11.725410;-14.480827;-2.393711;-13.898419;-12.921725;-14.665734;
0.097656;-10.073849;-13.430961;-8.979502;-10.109081;-2.773450;-10.222069;-10.290639;-11.216181;
0.101563;-3.815674;-4.750427;-2.492227;-3.555667;-2.608824;-3.638978;-5.015949;-4.503108;
0.105469;-3.190441;-3.182486;-2.409505;-4.324860;-5.960660;-4.111583;-4.752075;-4.862244;
0.109375;-10.723834;-13.683170;-12.047869;-13.884277;-13.616257;-12.527904;-11.366305;-13.116539;
0.113281;-9.329118;-13.178221;-10.740710;-11.973041;-8.842848;-11.920058;-9.687497;-11.955315;
0.117188;-0.209220;-1.651698;0.445668;-1.512322;3.769814;-3.635626;-0.796089;-2.695089;
0.121094;5.709739;5.887150;7.334058;3.833756;7.701863;2.277184;5.778845;3.798577;
0.125000;5.909453;5.149563;6.847020;3.074709;3.879924;3.787563;6.929190;4.880258;
0.128906;0.406359;-3.477422;0.103909;-2.706777;0.237384;0.319385;1.223991;0.754749;
0.132813;2.555399;-1.418449;2.422661;1.688619;4.936968;2.858327;1.517210;3.216254;
0.136719;8.838384;6.951100;8.630138;10.420118;8.573907;8.697382;6.190971;8.825019;
0.140625;7.472842;5.341014;5.730445;8.284696;4.649022;7.900634;4.403411;7.359866;
0.144531;1.704738;-1.546345;-0.635883;1.142927;0.227428;2.712722;-1.179994;2.067408;
0.148438;-5.116252;-8.665398;-6.937590;-5.377432;-6.168958;-3.864928;-7.039053;-3.972881;
0.152344;-1.621603;-2.314420;-1.945915;0.835666;-8.221390;-1.117302;-3.037779;-0.350859;
0.156250;5.970339;8.127657;6.626369;10.126014;-4.444570;5.034913;4.828121;6.986822;
0.160156;2.438589;2.843583;2.737902;4.213288;-1.541972;1.162576;2.903126;3.091774;
0.164063;-3.213090;-5.104212;-2.332610;-3.355885;1.736211;-3.042362;-1.580373;-3.499413;
0.167969;-4.321375;-6.505075;-3.069706;-3.713673;1.556091;-1.216036;-3.664677;-4.313630;
0.171875;3.149996;2.924154;3.741988;5.732661;3.242671;7.418347;1.990209;4.139633;
0.175781;10.274632;11.531571;9.817700;13.369787;7.623139;13.070376;8.834368;11.551855;
0.179688;2.946606;2.140868;0.956201;3.958102;3.338724;5.419563;2.380213;4.998611;
0.183594;-5.018791;-6.940225;-7.409107;-4.256169;-3.971423;-1.407725;-5.839447;-2.319151;
0.187500;-4.218307;-5.136774;-6.079488;-1.731095;-7.669429;-0.104719;-5.644158;-1.875431;
0.191406;3.135544;3.276469;2.153000;6.492102;-5.384945;6.221412;1.877463;4.069658;
0.195313;7.825028;7.367437;7.222656;10.209829;-0.074506;9.522150;7.390496;7.424934;
0.199219;1.475848;-1.568772;0.152541;1.233220;2.100299;3.205645;2.765321;1.802696;
0.203125;-1.710985;-3.716222;-2.055751;-1.614495;5.282569;0.462335;1.209851;0.061985;
0.207031;-0.550684;1.217567;0.769540;2.398052;2.595076;1.724770;3.187497;1.686039;
0.210938;-2.240479;1.443405;-0.723419;1.205941;-6.512548;-0.432021;1.967814;-0.267813;
0.214844;-4.483765;-1.107487;-3.386551;-3.110823;-8.513364;-3.489592;0.111776;-2.718656;
0.218750;-7.002916;-6.328421;-6.747788;-8.036095;-2.761300;-5.893227;-3.295096;-5.166380;
0.222656;-1.063514;-0.910066;-0.524029;-0.879249;6.199394;0.007381;-0.202355;0.173812;
0.226563;5.482964;8.173630;6.782923;8.416581;7.110631;6.442834;5.149397;6.810098;
0.230469;0.279061;4.264772;1.501543;2.180652;1.103675;1.843818;2.409386;2.723327;
0.234375;-7.940407;-4.662006;-6.510971;-8.696280;-0.310751;-6.276465;-3.246283;-5.837387;
0.238281;-11.300189;-10.598306;-10.207541;-12.813860;-2.339545;-9.652141;-7.181100;-10.619120;
0.242188;-0.643942;-0.724418;-0.129755;0.113516;-0.093527;0.870604;0.379787;-0.917164;
0.246094;11.679399;12.695403;11.505328;13.909103;6.558569;12.714526;11.098378;11.936804;
0.250000;6.665226;6.642434;5.177176;6.297698;5.531381;7.203050;7.531828;8.118638;
0.253906;-1.482970;-2.386299;-3.396725;-3.834907;1.251965;-1.944387;0.967833;-0.364987;
0.257813;-1.539678;-1.585094;-3.209848;-3.374244;-1.847146;-2.916560;0.903760;-1.468683;
0.261719;4.394065;6.328203;3.703026;4.086527;-0.436897;2.014644;5.753104;3.405744;
0.265625;5.364130;7.703674;5.213313;5.752068;1.404462;2.629472;6.451581;3.868517;
0.269531;-2.613658;-2.838790;-3.998570;-3.895386;-0.576826;-3.866059;-0.758321;-2.890274;
0.273438;-0.841194;-0.807575;-2.219873;-2.552741;4.951662;-1.047304;0.698001;0.285386;
0.277344;7.864639;10.858857;7.573829;7.471697;10.913757;7.373293;8.555563;9.335838;
0.281250;9.370916;13.257048;9.305120;9.792059;7.405661;8.138036;9.451490;9.855189;
0.285156;3.152941;4.759076;2.201782;3.517541;0.668997;1.369023;2.448679;2.695884;
0.289063;-4.979788;-6.982474;-7.710337;-5.937190;-3.644083;-6.499747;-5.926264;-4.277313;
0.292969;-1.910172;-3.722468;-4.439666;-2.459415;0.010618;-2.580582;-2.854328;-0.011851;
0.296875;4.234236;4.504966;3.265369;5.718731;1.164851;6.032016;3.232399;6.153216;
0.300781;2.547860;2.621257;1.900511;4.499533;-6.214899;6.972695;1.620754;4.483435;
0.304688;-0.500930;-1.625030;-1.586015;0.388433;-9.332066;3.686318;-1.246313;1.305588;
0.308594;-1.889523;-4.662985;-3.483856;-2.820408;-3.125589;0.425766;-2.521260;-0.904367;
0.312500;4.930448;2.700969;4.391696;4.204157;9.773492;4.950292;3.240203;3.937954;
0.316406;10.278662;9.875677;11.013939;10.810002;11.850062;8.345892;7.577792;8.133772;
0.320313;2.455882;2.166843;2.865316;2.110047;-2.135318;-0.338079;1.021835;1.077861;
0.324219;-5.928835;-5.509842;-5.217918;-7.264052;-9.392899;-9.243043;-4.721748;-7.030502;
0.328125;-7.583840;-6.046899;-6.045598;-9.121316;-3.820797;-10.461169;-5.036340;-9.353203;
0.332031;-0.355754;2.305445;1.974989;-0.841682;6.921322;-2.159297;0.380913;-3.062827;
0.335938;5.060583;7.263640;7.648752;5.799517;10.954094;3.983027;3.489938;2.209296;
0.339844;-0.408569;-1.632125;1.023509;-0.381400;5.031708;-0.816249;-1.499622;-2.023098;
0.343750;-2.634355;-5.350665;-2.155884;-2.553046;3.012746;-2.781214;-2.124607;-3.637536;
0.347656;-0.833268;-1.866964;-0.746405;0.050889;2.677465;-1.429368;0.412506;-2.275441;
0.351563;1.538972;4.118148;2.606924;2.434479;0.925044;-0.777390;2.767964;-0.345309;
0.355469;1.321281;6.405838;3.589511;1.261214;-0.740450;-2.242685;2.857361;0.141466;
0.359375;-5.363477;-2.169776;-4.850201;-7.334535;-4.967442;-7.284198;-3.097492;-4.909366;
0.363281;-4.186464;-1.996174;-5.259877;-5.476506;-3.207585;-4.195984;-2.243591;-3.651448;
0.367188;2.890344;6.222434;3.166352;3.738065;2.994264;2.659081;3.696515;2.579592;
0.371094;5.500280;8.984409;7.950146;6.350057;6.510902;3.570222;5.157281;5.225793;
0.375000;2.819808;5.775674;4.890757;2.464095;4.108173;0.049163;1.981110;3.543989;
0.378906;-4.367165;-2.371432;-5.309206;-5.869794;-2.791090;-5.271328;-4.751965;-2.363804;
0.382813;-2.905077;0.199119;-4.095978;-3.315710;1.035829;-2.059808;-3.253339;-1.306720;
0.386719;3.061891;7.500659;4.117195;4.220552;8.519462;3.880458;2.601025;3.571272;
0.390625;2.378665;5.148029;3.479185;2.813603;4.546208;3.505450;2.126851;2.886678;
0.394531;-0.009735;0.274147;-0.853367;-0.518684;-2.414698;2.385986;-0.619438;0.413283;
0.398438;-2.567042;-3.777202;-4.703855;-3.687787;-3.355584;0.053884;-3.762769;-2.861863;
0.402344;0.378031;1.240831;-0.085650;-0.021446;3.809379;0.339280;-1.186347;-1.077175;
0.406250;2.301249;5.603631;3.683669;2.795223;4.854993;-0.129715;0.972617;0.438812;
0.410156;-5.015731;-3.484666;-4.652921;-6.126944;-6.810834;-7.148899;-5.734631;-6.244262;
0.414063;-10.668061;-11.009147;-11.515358;-12.860545;-14.989829;-12.553067;-11.185592;-11.674203;
0.417969;-12.217862;-12.602662;-12.992167;-13.609329;-15.616367;-14.618188;-12.961089;-13.305431;
0.421875;-5.753059;-4.652151;-5.067012;-5.600604;-7.237232;-8.680633;-7.614124;-7.545550;
0.425781;3.732963;5.960553;5.468180;4.028646;3.884112;0.954442;1.072845;1.193055;
0.429688;2.232323;2.476544;2.698992;0.122605;2.975446;0.948442;0.357621;0.183821;
0.433594;-2.706105;-4.368301;-3.362127;-5.526372;-3.610745;-2.671355;-4.033810;-4.352466;
0.437500;-4.811960;-6.601772;-5.483020;-6.240044;-5.823433;-4.877342;-6.190453;-6.364869;
0.441406;-0.851067;-1.141261;-0.648348;-1.041457;-0.205405;-2.838016;-2.094958;-2.404169;
0.445313;3.242055;3.903824;3.918650;3.409134;1.788529;-0.183451;1.893936;1.685561;
0.449219;-3.657849;-5.202413;-4.574101;-4.623179;-8.920522;-5.197729;-5.151192;-4.225873;
0.453125;-5.661817;-7.899696;-6.911662;-5.743298;-9.375319;-4.603159;-6.858633;-5.489000;
0.457031;3.094601;2.515067;3.504841;5.543428;5.099617;4.944169;2.548738;3.080869;
0.460938;10.945011;11.406231;12.154602;13.647815;14.205407;12.161697;10.328640;10.715359;
0.464844;10.986829;11.489771;11.281134;11.980516;10.638209;11.364696;9.773801;11.200677;
0.468750;2.554977;1.903216;0.870916;1.490118;0.592655;3.105791;1.555510;3.785818;
0.472656;1.488352;2.352393;-0.187954;1.074224;-0.439408;2.243063;0.892556;2.614680;
0.476563;6.914998;10.880509;6.863755;8.485572;3.856941;7.919917;6.964100;7.777605;
0.480469;6.615341;10.244649;6.951398;7.575647;1.673782;7.813925;7.549667;8.175362;
0.484375;2.668661;3.916777;2.500285;2.215154;-2.807403;3.123557;3.410459;4.118494;
0.488281;-2.736777;-3.602667;-3.559158;-3.597077;-5.681339;-2.377295;-2.690787;-2.162510;
0.492188;0.495250;0.217752;0.331301;1.078881;0.081298;1.215778;-0.117552;-0.025339;
0.496094;6.331724;7.028810;6.988938;8.319094;6.982624;7.219736;5.018088;5.344372;
0.500000;1.440941;-0.006812;0.893321;2.295591;2.707476;2.587632;-0.379685;1.147596;
0.503906;-1.910673;-4.440726;-3.748073;-1.941964;-1.707707;-1.264714;-3.952942;-1.707137;
0.507813;1.476320;0.616379;-0.498254;1.385478;-0.035288;1.703079;0.199634;2.251131;
0.511719;9.370493;11.691864;8.967922;9.603005;6.689273;9.606629;9.212487;10.831678;
0.515625;12.366611;16.226576;13.288480;12.863942;9.359807;13.119465;12.836181;14.567501;
0.519531;2.755115;4.429373;2.095380;1.922964;0.819374;4.872724;3.891083;6.280062;
0.523438;-1.923328;-0.759338;-3.721248;-2.651397;-3.086374;0.579327;0.103120;2.022242;
0.527344;2.619469;5.414181;2.015853;3.510536;0.916800;4.209598;5.711579;5.629826;
0.531250;8.365241;11.884634;9.262067;9.457666;4.448670;8.456459;11.763753;9.570751;
0.535156;8.464351;10.955739;8.897946;7.961954;2.901229;7.545901;11.251473;8.135298;
0.539063;-0.545818;-1.083032;-2.062249;-3.473256;-3.763886;-0.959195;1.493578;-0.743503;
0.542969;-1.341545;-2.299774;-2.570237;-3.383435;-3.552657;-1.153298;-0.728773;-0.842672;
