Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.000000;0.883236;0.443752;1.680675;-0.517926;-0.768593;0.915083;0.480045;1.362222;256
0.003906;1.827202;0.423024;3.410213;-0.154260;2.842027;0.357342;1.258741;0.981284;
0.007813;8.642846;6.732233;10.692360;8.278005;9.172304;7.189073;6.809253;7.020261;
0.011719;10.272751;9.052877;12.066580;11.427564;9.079273;9.850813;8.650846;9.157841;
0.015625;-1.475031;-2.932083;-1.409907;-1.422014;-1.510602;-1.586062;-1.299667;-1.809090;
0.019531;-5.085693;-8.039654;-5.680745;-6.131565;-3.540215;-7.016553;-5.274962;-6.748486;
0.023438;-0.055943;-2.752473;-0.202996;0.014812;1.695972;-1.247470;-1.389002;-1.667052;
0.027344;3.061179;3.074269;3.365162;5.125029;4.301915;5.972751;2.304379;4.373052;
0.031250;1.276316;2.422499;1.865645;3.639762;2.383206;6.096745;1.578189;4.032209;
0.035156;-7.866510;-8.761611;-7.831741;-7.889112;-5.513402;-4.878991;-6.970367;-6.472899;
0.039063;-7.726575;-10.005442;-7.344593;-9.484813;-4.940232;-9.062737;-7.328408;-9.063735;
0.042969;0.395866;-1.081685;2.159806;-1.333182;2.657703;-4.400617;0.485450;-2.462947;
0.046875;2.953937;2.946699;5.678840;1.921458;4.657333;-1.380781;3.486338;1.052191;
0.050781;-1.381394;-0.015108;1.049895;-1.069293;-0.284220;-1.588643;-0.413643;-0.682479;
0.054688;-10.589226;-8.787704;-10.097656;-9.857144;-8.940227;-6.594255;-9.119516;-7.656956;
0.058594;-8.053267;-6.577219;-7.990335;-7.269068;-6.138763;-5.097397;-7.735075;-6.513373;
0.062500;-0.288894;0.729118;1.379588;0.745216;1.262037;-1.043336;-1.485790;-1.668897;
0.066406;-3.710325;-3.711400;-1.402780;-3.589809;-1.975028;-5.769308;-4.360437;-6.196685;
0.070313;-9.024472;-10.655415;-7.420753;-10.323313;-6.764604;-11.460813;-8.670529;-12.418258;
0.074219;-11.827342;-14.862802;-11.097125;-14.290138;-8.080824;-15.052853;-10.837631;-16.477743;
0.078125;-4.760452;-8.138419;-3.171499;-6.689146;-1.034197;-8.932541;-4.419205;-10.274026;
0.082031;5.133893;1.735893;7.729957;5.032992;6.474827;1.945640;3.979818;0.712439;
0.085938;2.559950;-1.128830;4.355609;3.003119;2.912946;2.397725;1.292325;0.896004;
0.089844;0.101633;-3.442241;1.823436;0.573628;1.366807;0.862611;-0.600396;-0.641751;
0.093750;1.711758;-1.028740;3.365551;2.900371;3.123206;2.420189;1.158533;0.801131;
0.097656;5.383106;4.830130;5.552781;8.193511;4.390145;7.406188;4.501730;5.199563;
0.101563;4.818780;7.212304;3.717496;8.009603;2.756786;7.643964;5.315243;6.180869;
0.105469;-6.763574;-2.979680;-8.545680;-6.386460;-6.557140;-4.690702;-3.132369;-3.538028;
0.109375;-9.405582;-5.822123;-10.918975;-10.945130;-9.100527;-8.980233;-5.676602;-5.952784;
0.113281;0.209516;3.004584;-0.029451;-0.575345;-0.749730;-0.236286;1.735230;2.375561;
0.117188;10.425525;12.384078;11.675966;10.741729;9.920616;9.353581;10.761879;10.763781;
0.121094;11.998059;13.052114;13.086948;12.416498;11.442811;10.460776;12.209316;11.136640;
0.125000;0.185685;0.220613;-0.836557;-0.468036;-1.110286;0.336391;0.970122;0.217313;
0.128906;-2.716891;-2.455827;-4.291439;-3.007290;-4.739077;-0.784182;-2.517206;-1.594041;
0.132813;4.162856;6.218463;3.178118;5.383151;2.091393;6.368080;3.348648;6.352665;
0.136719;4.295482;7.768441;2.689351;5.607368;2.698184;6.035223;3.948876;7.960968;
0.140625;0.112168;2.516370;-1.901452;0.583924;-0.716533;1.204015;0.824975;3.564789;
0.144531;-3.603588;-4.041850;-4.562479;-4.071105;-2.967040;-2.513948;-2.411248;-2.154628;
0.148438;5.074412;3.275688;6.468537;5.005466;4.965452;5.130846;4.705971;3.720262;
0.152344;14.637045;13.646101;16.648758;15.104927;12.647045;13.560925;12.988408;12.525695;
0.156250;7.790692;7.962793;7.031676;6.892297;5.833323;8.027272;7.373523;8.130437;
0.160156;-0.083984;0.434541;-3.505066;-1.765783;-1.853507;1.607453;0.313601;2.001982;
0.164063;-0.580477;-0.582999;-4.563507;-1.236030;-2.412111;1.338630;-1.015876;1.025741;
0.167969;7.864176;7.569650;4.956722;9.024283;4.786821;8.899832;5.224636;7.927156;
0.171875;12.676626;12.691770;10.596148;14.218820;8.223289;12.100165;8.895528;12.393970;
0.175781;1.644207;2.046643;-0.856290;1.831622;-0.829357;0.993447;0.070011;3.439044;
0.179688;-4.174576;-3.865562;-6.372674;-3.606902;-4.544047;-2.874039;-4.193739;-1.323449;
0.183594;0.114985;-0.405875;-0.973342;1.438252;-1.017631;2.764110;-1.200417;1.116381;
0.187500;4.118598;3.751893;3.943392;4.812975;1.433745;5.717328;1.128072;3.137399;
0.191406;0.247505;1.397580;-0.327907;0.625609;-2.283898;2.062680;-2.244873;0.723357;
0.195313;-11.405570;-10.471404;-13.316245;-11.943364;-12.695291;-7.805861;-11.994429;-8.652193;
0.199219;-8.885099;-10.890115;-9.911903;-10.343144;-11.305723;-7.695481;-10.157956;-8.997766;
0.203125;3.787222;-0.838021;4.035511;3.023878;-0.458684;1.927897;0.336914;-0.291904;
0.207031;8.974073;4.618515;8.149391;9.642618;5.191109;8.723165;5.183950;5.586581;
0.210938;4.227743;1.651439;2.541686;4.727101;2.826959;5.245272;2.473465;3.225452;
